timestamp,price,volume,high,low
2025-03-04 18:52:46.818128,86351.92,59585.21069,87724.13,81500.0
2025-03-04 18:52:47.983372,86358.49,59584.8312,87724.13,81500.0
2025-03-04 18:52:49.152765,86374.96,59583.82792,87724.13,81500.0
2025-03-04 18:52:50.317326,86387.0,59584.34885,87724.13,81500.0
2025-03-04 18:52:51.481734,86373.18,59584.67973,87724.13,81500.0
2025-03-04 18:52:52.645864,86349.57,59587.78047,87724.13,81500.0
2025-03-04 18:52:53.810420,86343.07,59587.42842,87724.13,81500.0
2025-03-04 18:52:54.976494,86338.52,59584.57157,87724.13,81500.0
2025-03-04 18:52:56.141985,86356.34,59584.65831,87724.13,81500.0
2025-03-04 18:52:58.311169,86346.68,59584.74161,87724.13,81500.0
2025-03-04 18:52:59.482429,86333.31,59584.35699,87724.13,81500.0
2025-03-04 18:53:00.646843,86321.81,59579.91033,87724.13,81500.0
2025-03-04 18:53:01.813871,86323.16,59579.75847,87724.13,81500.0
2025-03-04 18:53:02.984307,86319.47,59579.69474,87724.13,81500.0
2025-03-04 18:53:04.153505,86317.77,59575.64252,87724.13,81500.0
2025-03-04 18:53:05.326178,86317.76,59573.19125,87724.13,81500.0
2025-03-04 18:53:06.495999,86323.37,59574.1974,87724.13,81500.0
2025-03-04 18:53:07.666756,86321.82,59578.42273,87724.13,81500.0
2025-03-04 18:53:08.838824,86354.22,59578.09783,87724.13,81500.0
2025-03-04 18:53:10.004936,86392.67,59577.98432,87724.13,81500.0
2025-03-04 18:53:11.174073,86372.11,59576.94699,87724.13,81500.0
2025-03-04 18:53:12.339940,86350.32,59576.73465,87724.13,81500.0
2025-03-04 18:53:13.504219,86347.03,59571.67687,87724.13,81500.0
2025-03-04 18:53:14.671532,86336.89,59571.4053,87724.13,81500.0
2025-03-04 18:53:15.836318,86322.72,59571.57952,87724.13,81500.0
2025-03-04 18:53:17.003410,86331.96,59571.31188,87724.13,81500.0
2025-03-04 18:53:18.169908,86350.28,59572.36889,87724.13,81500.0
2025-03-04 18:53:19.334307,86381.32,59571.64058,87724.13,81500.0
2025-03-04 18:53:20.503872,86388.31,59571.92959,87724.13,81500.0
2025-03-04 18:53:21.672026,86399.99,59576.19442,87724.13,81500.0
2025-03-04 18:53:22.844922,86408.72,59577.56457,87724.13,81500.0
2025-03-04 18:53:24.011869,86411.52,59576.8566,87724.13,81500.0
2025-03-04 18:53:25.181910,86411.52,59576.44179,87724.13,81500.0
2025-03-04 18:53:26.345566,86399.48,59577.12596,87724.13,81500.0
2025-03-04 18:53:27.514447,86390.52,59576.85758,87724.13,81500.0
2025-03-04 18:53:28.688353,86385.36,59576.69327,87724.13,81500.0
2025-03-04 18:53:29.856339,86384.99,59576.36096,87724.13,81500.0
2025-03-04 18:53:31.013994,86379.83,59577.72952,87724.13,81500.0
2025-03-04 18:53:32.182136,86415.74,59577.97728,87724.13,81500.0
2025-03-04 18:53:33.344722,86407.59,59579.00712,87724.13,81500.0
2025-03-04 18:53:34.516411,86412.76,59579.04013,87724.13,81500.0
2025-03-04 18:53:35.684745,86408.74,59577.79401,87724.13,81500.0
2025-03-04 18:53:36.847839,86399.41,59577.74453,87724.13,81500.0
2025-03-04 18:53:38.016835,86399.41,59577.1597,87724.13,81500.0
2025-03-04 18:53:39.182095,86399.41,59577.29054,87724.13,81500.0
2025-03-04 18:53:40.358320,86394.43,59577.73072,87724.13,81500.0
2025-03-04 18:53:41.529690,86394.42,59576.80792,87724.13,81500.0
2025-03-04 18:53:42.699323,86389.49,59575.96879,87724.13,81500.0
2025-03-04 18:53:43.865410,86399.05,59575.54105,87724.13,81500.0
2025-03-04 18:53:45.028264,86399.06,59575.14202,87724.13,81500.0
2025-03-04 18:53:46.194068,86399.05,59574.54073,87724.13,81500.0
2025-03-04 18:53:47.363167,86398.72,59575.55894,87724.13,81500.0
2025-03-04 18:53:48.527183,86398.72,59575.24621,87724.13,81500.0
2025-03-04 18:53:49.697804,86416.67,59575.42006,87724.13,81500.0
2025-03-04 18:53:50.865578,86429.99,59575.19965,87724.13,81500.0
2025-03-04 18:53:52.032055,86437.35,59585.18745,87724.13,81500.0
2025-03-04 18:53:53.196209,86438.99,59583.85409,87724.13,81500.0
2025-03-04 18:53:54.360130,86418.17,59584.34672,87724.13,81500.0
2025-03-04 18:53:55.528155,86411.5,59583.7764,87724.13,81500.0
2025-03-04 18:53:56.696988,86426.83,59589.54847,87724.13,81500.0
2025-03-04 18:53:57.990825,86415.13,59598.16793,87724.13,81500.0
2025-03-04 18:53:59.158350,86406.56,59597.79297,87724.13,81500.0
2025-03-04 18:54:00.328885,86418.4,59596.4957,87724.13,81500.0
2025-03-04 18:54:01.497120,86403.08,59595.83882,87724.13,81500.0
2025-03-04 18:54:02.664170,86395.92,59595.70553,87724.13,81500.0
2025-03-04 18:54:03.830851,86381.83,59594.80632,87724.13,81500.0
2025-03-04 18:54:05.000428,86363.11,59594.99611,87724.13,81500.0
2025-03-04 18:54:06.170302,86372.19,59599.30969,87724.13,81500.0
2025-03-04 18:54:07.336675,86355.52,59599.81857,87724.13,81500.0
2025-03-04 18:54:08.501785,86333.32,59600.69438,87724.13,81500.0
2025-03-04 18:54:09.667947,86328.74,59599.6969,87724.13,81500.0
2025-03-04 18:54:10.832628,86338.71,59594.02935,87724.13,81500.0
2025-03-04 18:54:12.001189,86346.14,59592.189,87724.13,81500.0
2025-03-04 18:54:13.171347,86329.11,59590.84927,87724.13,81500.0
